Demand,Solar
0.86001,0.0026834
0.84602,0.0012171
0.82644,0.0011953
0.81109,0.0012089
0.79887,0.0012573
0.78841,0.0010611
0.7812,0.0011104
0.77445,0.0011103
0.77123,0.001124
0.76863,0.0011104
0.77197,0.0011067
0.77528,0.0010047
0.76973,0.0080198
0.75739,0.12774
0.74876,0.41324
0.73132,0.65085
0.72461,0.79457
0.70283,0.87103
0.68123,0.88172
0.64743,0.80773
0.62681,0.7878
0.61046,0.80215
0.60341,0.77813
0.59616,0.8209
0.5932,0.84246
0.59383,0.84796
0.59902,0.82565
0.61874,0.8242
0.62247,0.86754
0.64309,0.91092
0.66076,0.90371
0.70431,0.98133
0.7459,0.92518
0.78124,0.97498
0.8318,0.85398
0.87296,0.86567
0.92067,0.58008
0.95496,0.26848
0.96774,0.058786
0.996,0.013461
0.9995,0.015569
0.98793,0.015644
0.9765,0.015246
0.95007,0.015327
0.91408,0.0089738
0.88415,0.0089757
0.85047,0.0089764
0.83079,1.14E-18
0.76358,0.0038567
0.74845,0.0036203
0.73332,0.0036206
0.72365,0.003621
0.71518,0.0035319
0.70668,0.0035247
0.70489,0.0035421
0.70811,0.0035419
0.71712,0.0035419
0.72512,0.0034655
0.74903,0.0034642
0.77602,0.0035575
0.80929,0.01108
0.81211,0.10031
0.84237,0.32305
0.85911,0.61553
0.8645,0.8375
0.8541,0.92155
0.83207,0.96674
0.81844,0.96355
0.79765,0.98686
0.77817,0.99753
0.76061,0.99738
0.74564,0.95049
0.73737,0.94178
0.72869,0.95771
0.73048,0.95305
0.73477,0.90496
0.73699,0.93328
0.7476,0.96012
0.76319,0.95237
0.78417,0.93364
0.80776,0.91867
0.83629,0.91923
0.86934,0.80809
0.90591,0.72612
0.93046,0.47208
0.95762,0.21497
0.97442,0.062879
0.99183,0.013511
0.99965,0.010644
0.98245,0.0075186
0.97226,0.0040838
0.94266,-0.00024581
0.90449,-0.0003919
0.87255,-0.00039898
0.84042,-0.00039318
0.81374,0
0.80712,-0.00030354
0.79091,-0.00037818
0.77432,-0.00031467
0.7615,-0.00033143
0.75229,-0.00037856
0.74358,-0.0004651
0.73883,-0.0004553
0.73553,-0.00044534
0.74291,-0.00053141
0.75411,-0.00053142
0.77885,-0.00053584
0.80353,-0.00052963
0.83552,0.0072457
0.85299,0.10773
0.87138,0.34318
0.8626,0.60192
0.85391,0.7728
0.83796,0.84947
0.82633,0.89797
0.81034,0.91888
0.78992,0.97197
0.76992,0.99831
0.75162,0.98843
0.73238,0.97486
0.72514,0.95726
0.72188,0.9449
0.72327,0.9538
0.72916,0.93363
0.73227,0.94172
0.73964,0.93601
0.75929,0.92342
0.77827,0.92762
0.80676,0.82524
0.83388,0.86328
0.86624,0.82391
0.90734,0.71299
0.93612,0.46486
0.96429,0.2238
0.97886,0.059508
0.99403,0.012933
0.99806,0.0074654
0.98456,0.0073627
0.97067,0.0034332
0.94261,0.003348
0.90832,0.0072949
0.87665,0.0073613
0.84676,0.00037829
0.81705,-1.78E-20
0.76957,-0.0010927
0.75233,-0.0027684
0.73908,-0.0027705
0.72728,-0.0027683
0.7174,-0.0027683
0.70863,-0.0028074
0.70365,-0.0028411
0.70245,-0.0028612
0.70349,-0.0028407
0.71181,-0.0029146
0.73213,-0.0018517
0.7538,-0.0017406
0.77697,0.0076349
0.78988,0.11612
0.79772,0.3513
0.78495,0.59783
0.7751,0.77667
0.76351,0.84867
0.75262,0.91633
0.73252,0.94349
0.71934,0.96289
0.70932,0.94991
0.70408,0.96099
0.70347,0.96835
0.70879,0.96569
0.7136,0.96569
0.72666,0.97317
0.74152,0.99701
0.75836,0.98833
0.77721,0.99609
0.79886,0.98819
0.82534,0.96802
0.84919,0.93736
0.88324,0.90231
0.90916,0.8432
0.94438,0.71003
0.9657,0.47283
0.98287,0.22396
0.98876,0.062694
1,0.021459
0.9953,0.0089273
0.97657,0.0092658
0.96527,0.0032978
0.93359,0.0032345
0.89819,0.0014574
0.86176,0.0014569
0.82796,0.0009952
0.80053,0
0.81683,-0.0022377
0.79683,-0.0024678
0.777,-0.002542
